Timestamp,Gender,Hair_Length,Haircut_frequency,Haircut_cost
4/5/2024 15:27:13,Female,Long,1,80
4/5/2024 15:32:58,Male,Medium,7,300
4/5/2024 15:46:14,Female,Medium,2,70
4/5/2024 15:46:22,Female,Medium,1,60
4/5/2024 15:52:23,Male,Short,8,35
4/5/2024 15:57:42,Female,Long,3,2
4/5/2024 15:59:59,Male,Short,10,0
4/5/2024 16:11:29,Female,Short,3,150
4/5/2024 16:17:19,Female,Long,3,300
4/5/2024 16:31:40,Male,Long,0,0
4/5/2024 16:50:50,Male,Medium,5,20
4/5/2024 17:21:45,Male,Medium,12,276
4/5/2024 17:23:05,Female,Medium,1,0
4/5/2024 17:29:48,Male,Medium,12,480
4/5/2024 18:02:36,Female,Long,0,0
4/5/2024 18:07:22,Female,Long,2,50
4/5/2024 19:41:25,Female,Medium,2,27
4/5/2024 19:57:17,Female,Long,3,270
4/5/2024 21:43:07,Male,Medium,15,50
4/6/2024 0:20:02,Female,Medium,2,0
4/6/2024 10:02:20,Female,Medium,1,40
4/6/2024 18:16:43,Male,Short,24,60
4/6/2024 18:27:32,Male,Short,12,500
4/6/2024 19:42:34,Male,Medium,12,540
4/6/2024 21:06:52,Male,Long,1,60
4/7/2024 13:06:26,Female,Long,0,0
